curso,materia,tiempo_limite,fecha_disponible,horario_inicio,horario_final,fecha_resultado,horario_resultado
ECOEMS 2026,Diagnóstico,03:00:00,2026-06-15,15:00:00,18:00:00,2026-06-19,20:00:00
ECOEMS 2026,Habilidad Matemática,01:00:00,2026-06-06,14:00:00,15:00:00,2026-06-07,09:00:00
ECOEMS 2026,Historia de México,12:00:00,2026-05-29,12:00:00,13:00:00,2026-05-30,09:00:00
ECOEMS 2026,Historia Universal,12:00:00,2026-05-23,11:00:00,23:00:00,2026-05-23,11:00:00
ECOEMS 2026,Física,03:00:00,2026-06-14,15:00:00,18:00:00,2026-06-15,09:00:00
ECOEMS 2026,Biología,12:00:00,2026-05-27,11:00:00,23:00:00,2026-05-27,11:00:00
ECOEMS 2026,Geografía,12:00:00,2026-03-27,11:00:00,23:00:00,2026-03-27,11:00:00
ECOEMS 2026,Matemáticas,12:00:00,2026-05-23,11:00:00,23:00:00,2026-05-23,11:00:00
ECOEMS 2026,Formación Cívica y Ética,12:00:00,2026-03-27,11:00:00,23:00:00,2026-03-21,11:00:00
ECOEMS 2026,Habilidad Verbal,01:00:00,2026-06-07,14:00:00,23:59:00,2026-06-07,14:00:00
ECOEMS 2026,Español,12:00:00,2026-05-17,11:00:00,23:00:00,2026-05-17,11:00:00
ECOEMS 2026,Química,12:00:00,2026-05-30,16:00:00,20:00:00,2026-05-30,16:00:00
ECOEMS 2026,Simulacro,03:00:00,2026-06-15,08:00:00,11:00:00,2026-06-19,20:00:00
LICENCIATURA 2026,Simulacro,04:00:00,2026-05-17,09:00:00,13:00:00,2026-05-17,13:30:00
