folio,curso,materia,Pregunta_número,Pregunta,Respuesta_a,Respuesta_b,Respuesta_c,Respuesta_d,Respuesta_seleccionada,Respuesta_correcta
269815857,ECOEMS 2026,Geografía,1,¿Cuál es el río más largo de México?,Río Bravo,Río Lerma,Río Balsas,Río Grijalva,Respuesta_b,Respuesta_a
269815857,ECOEMS 2026,Geografía,2,¿Cuál es la ubicación geográfica de México?,América del Sur,América Central,América del Norte,Europa,Respuesta_c,Respuesta_c
269815857,ECOEMS 2026,Geografía,3,¿Cuál es la península más grande de México?,Península de Baja California,Península de Yucatán,Península de California,Península de Sonora,Respuesta_a,Respuesta_b
269815857,ECOEMS 2026,Geografía,4,¿Cuál es la capital de México?,Guadalajara,Monterrey,Puebla,Ciudad de México,Respuesta_d,Respuesta_d
269815857,ECOEMS 2026,Geografía,5,¿Cuál es el lago más grande de México?,Lago de Chapala,Lago de Pátzcuaro,Lago de Cuitzeo,Lago de Zirahuén,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,6,¿Cuál es el estado más grande de México?,Chihuahua,Sonora,Coahuila,Durango,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,7,¿Qué océanos bañan las costas de México?,Atlántico e Índico,Pacífico y Ártico,Atlántico y Pacífico,Índico y Ártico,Respuesta_c,Respuesta_b
269815857,ECOEMS 2026,Geografía,8,¿Con qué países limita México al norte?,Guatemala y Belice,Estados Unidos,Canadá,Brasil,Respuesta_b,Respuesta_b
269815857,ECOEMS 2026,Geografía,9,¿Cuál es el desierto más grande de México?,Desierto de Sonora,Desierto de Chihuahua,Desierto de Altar,Desierto de Mapimí,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,10,¿Cuál es la montaña más alta de México?,Iztaccíhuatl,Popocatépetl,Pico de Orizaba,Nevado de Toluca,Respuesta_c,Respuesta_c
269815857,ECOEMS 2026,Geografía,11,¿Cuál es el estado más pequeño de México?,Aguascalientes,Colima,Tlaxcala,Morelos,Respuesta_b,Respuesta_c
269815857,ECOEMS 2026,Geografía,12,¿Cuál es el estado más poblado de México (Excepto Ciudad de México)?,Ciudad de México,Estado de México,Veracruz,Jalisco,Respuesta_b,Respuesta_b
269815857,ECOEMS 2026,Geografía,13,¿Cuál es el volcán más activo de México?,Paricutín,Iztaccíhuatl,Pico de Orizaba,Popocatépetl,Respuesta_d,Respuesta_d
269815857,ECOEMS 2026,Geografía,14,¿Cuál es la ciudad más poblada de México?,Puebla,Guadalajara,Monterrey,Ciudad de México,Respuesta_d,Respuesta_d
269815857,ECOEMS 2026,Geografía,15,¿Cuál es el río más caudaloso de México?,Río Balsas,Río Lerma,Río Bravo,Río Grijalva,Respuesta_c,Respuesta_c
269815857,ECOEMS 2026,Geografía,16,¿Cuál es la isla más grande de México?,Isla Mujeres,Isla Ángel de la Guarda,Isla Cozumel,Isla Tiburón,Respuesta_c,Respuesta_d
269815857,ECOEMS 2026,Geografía,17,¿Cuál es el estado más al norte de México?,Baja California,Sonora,Chihuahua,Coahuila,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,18,¿Cuál es el estado más al sur de México?,Campeche,Tabasco,Chiapas,Yucatán,Respuesta_c,Respuesta_c
269815857,ECOEMS 2026,Geografía,19,¿Cuál es el estado más al oeste de México?,Baja California,Baja California Sur,Sonora,Sinaloa,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,20,¿Cuál es la península más al sur de México?,Península de Baja California,Península de Yucatán,Península de California,Península de Sonora,Respuesta_a,Respuesta_b
269815857,ECOEMS 2026,Geografía,21,¿Cuál es el estado más al centro de México?,Hidalgo,Estado de México,Aguascalientes,Tlaxcala,Respuesta_b,Respuesta_c
269815857,ECOEMS 2026,Geografía,22,¿Cuál es el estado más al sureste de México?,Yucatán,Tabasco,Campeche,Chiapas,Respuesta_b,Respuesta_d
269815857,ECOEMS 2026,Geografía,23,¿Cuál es el estado más al noroeste de México?,Baja California,Baja California Sur,Sonora,Sinaloa,Respuesta_c,Respuesta_a
269815857,ECOEMS 2026,Geografía,24,¿Cuál es el estado más al noreste de México?,Nuevo León,Estado de México,Tamaulipas,Chihuahua,Respuesta_c,Respuesta_c
269815857,ECOEMS 2026,Geografía,25,¿Cuál es el estado más al suroeste de México?,Colima,Oaxaca,Guerrero,Michoacán,Respuesta_b,Respuesta_b
269815857,ECOEMS 2026,Geografía,26,¿Cuál es el estado más al centro-norte de México?,Zacatecas,San Luis Potosí,Aguascalientes,Durango,Respuesta_d,Respuesta_a
269815857,ECOEMS 2026,Geografía,27,¿Cuáles son los continentes del mundo?,"América, Europa, Asia, África y Oceania","América, Europa, Asia y África","América del Norte, América del Sur, Europa","América del Norte, América Central, Asia",Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,28,¿Cuál es el continente más extenso?,Antártida,América,África,Asia,Respuesta_d,Respuesta_d
269815857,ECOEMS 2026,Geografía,29,¿Cuál es el continente más poblado?,América,Asia,Europa,África,Respuesta_b,Respuesta_b
269815857,ECOEMS 2026,Geografía,30,¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Pacífico,Antártico,Respuesta_c,Respuesta_c
269815857,ECOEMS 2026,Geografía,31,¿Cuál es el país más grande del mundo?,Canadá,China,Estados Unidos,Rusia,Respuesta_d,Respuesta_d
269815857,ECOEMS 2026,Geografía,32,¿Cuál es el país más poblado del mundo?,Pakistan,Japón,India,China,Respuesta_d,Respuesta_d
269815857,ECOEMS 2026,Geografía,33,¿Cuál es la montaña más alta del mundo?,K2,Monte Everest,Kangchenjunga,Lhotse,Respuesta_b,Respuesta_b
269815857,ECOEMS 2026,Geografía,34,¿Cuál es el río más largo del mundo?,Río Nilo,Río Amazonas,Río Yangtsé,Río Misisipi,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,35,¿Cuál es el desierto más grande del mundo?,Desierto de los Leones,Desierto de Gobi,Desierto de Kalahari,Desierto del Sahara,Respuesta_c,Respuesta_d
269815857,ECOEMS 2026,Geografía,36,¿Cuál es la isla más grande del mundo?,Groenlandia,Nueva Guinea,Borneo,Madagascar,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,37,¿Cuál es el volcán más activo del mundo?,Monte Vesubio,Monte Etna,Kilauea,Monte Santa Helena,Respuesta_d,Respuesta_c
269815857,ECOEMS 2026,Geografía,38,¿Cuál es la ciudad más poblada del mundo?,Londres,Nueva Delhi,Shanghái,São Paulo,Respuesta_c,Respuesta_b
269815857,ECOEMS 2026,Geografía,39,¿Cuál es el parque nacional más grande del mundo?,Parque Nacional Yellowstone,Parque Nacional Banff,Parque Nacional Kruger,Parque Nacional Noreste de Groenlandia,Respuesta_a,Respuesta_a
269815857,ECOEMS 2026,Geografía,40,¿Cuál es el río más caudaloso del mundo?,Río Nilo,Río Amazonas,Río Yangtsé,Río Misisipi,Respuesta_b,Respuesta_b
269815857,ECOEMS 2026,Geografía,41,¿Cuál es la península más grande del mundo?,Península Canadiense,Península Ibérica,Península de Kamchatka,Península de Malaca,Respuesta_b,Respuesta_a
269815857,ECOEMS 2026,Geografía,42,¿Cuál es el país más al norte del mundo?,Canadá,Rusia,Noruega,Dinamarca,Respuesta_b,Respuesta_b
269815857,ECOEMS 2026,Geografía,43,¿Cuál es el país más al sur del mundo?,Argentina,Chile,Nueva Zelanda,Australia,Respuesta_d,Respuesta_a
269815857,ECOEMS 2026,Geografía,44,¿Cuál es el país más al este del mundo?,Nueva Zelanda,Australia,Japón,Rusia,Respuesta_a,Respuesta_d
